;Название магии        Классы Круги Уровни
;Chars 1,x,! turn this class on, every other - turn off
;
;0) C - лекарь
;1) M - Маг
;2) T - Вор
;3) W - Воин
;4) A - Ассасин
;5) T - Тамплиер
;6) S - Следопыт
;7) D - Друид
;8) M - Монах
;9) V - Варвар
;10)W - Ведьмак  
;  наклонности:
; 0-любая   a-светлая   b-нейтральная   c-темная   остальные по совокупности совмещения
;		      	0123456789  Кр.Рем.Нак.
;                	CMTWATSDMVW
легкий вред      	!..........  1 0 0 ;для клирика
создать воду     	!..........  1 0 0 ;для клирика
определить яд    	!..........  1 0 0 ;для клирика
создать пищу     	!..........  1 0 0 ;для клирика
снять проклятие  	!..........  2 0 0 ;для клерика
праведность *    	!..........  2 0 0 ;для клирика
проклятие *      	!..........  2 0 0 ;для клирика
снять оцепенение 	!..........  3 0 0 ;для клирика
серьезный вред   	!..........  3 0 0 ;для клирика
слепота *        	!..........  3 0 0 ;для клерика
освящение *      	!..........  4 0 0 ;для клирика
придержать нежить	!..........  4 0 0 ;для клерика
сопротивление тьме    	!..........  5 0 0 ;для клирика
дышать водой     	!..........  5 0 0 ;для клерика
критический вред 	!..........  5 0 0 ;для клирика
безумие *       	!..........  5 0 0 ;для клирика
повреждение разума      !..........  6 0 0 ;для клирика
исцеление *           	!..........  6 0 0 ;для клирика
сопротивление магии    	!..........  6 0 0 ;для клирика
слово возврата   	!..........  7 0 0 ;для клерика
защита богов       	!..........  7 2 a ;для клирика
открыть портал   	!..........  7 0 0 ;для клирика
вампиризм *   		!..........  7 0 c ;для клирика
видеть невидимое 	.!.........  1 0 0 ;для мага
горящие руки     	.!.........  1 0 0 ;для мага
невидимость *    	.!.........  2 0 0 ;для мага
сон *            	.!.........  2 0 0 ;для мага
сила *           	.!.........  2 0 0 ;для мага
защита *         	.!.........  2 0 0 ;для мага
слабость *       	.!.........  2 0 0 ;для мага
ускорение *      	.!.........  3 0 0 ;для мага
замедление *     	.!.........  3 0 0 ;для мага
ледяное прикосновение 	.!.........  3 0 0 ;для мага
полет *          	.!.........  3 0 0 ;для мага
огненный шар     	.!.........  3 0 0 ;для мага
свет *           	.!.........  4 0 0 ;для мага
кислотная стрела 	.!.........  4 0 0 ;для мага
придержать персону     	.!.........  5 0 0 ;для мага
найти предмет    	.!.........  5 0 0 ;для мага
групповая невидимость 	.!.........  6 0 0 ;для мага
массовая медлительность .!.........  6 0 0 ;для мага 
яд *             	.!.........  6 0 0 ;для мага
определить магию 	.!.........  6 0 0 ;для мага изменить на  *истинное зрение*
поток молний     	.!.........  6 0 0 ;для мага
групповая защита 	.!.........  7 0 0 ;для мага
массовый полет   	.!.........  7 0 0 ;для мага
познание *       	.!.........  7 0 0 ;для мага
телепорт *       	.!.........  7 2 c ;для мага
переместиться *    	.!.........  7 2 0 ;для магов на 2-м морте
слово замереть		.!.........  7 0 0 ;для мага
заколдовать оружие   	.!.........  8 0 0 ;для мага
групповая сила   	.!.........  8 0 0 ;для мага
иссушение *      	.!.........  8 0 0 ;для мага
ледяной шторм	        .!.........  8 1 c ;для мага
магическое зеркало      .!.........  8 1 b ;для мага
высосать жизнь	 	.!.........  8 0 0 ;для мага изменить на *иссушеение*(sacrifice)
гнев богов	     	.!.........  9 0 0 ;для мага изменить на *Слово силы убить*(implosion)
групповой возврат 	.!.........  9 0 0 ;для мага
ускорение *      	....!......  2 0 0 ;для ассасина
видеть невидимое 	....!......  4 0 0 ;для ассасина
инфразрение *    	....!......  1 0 0 ;для ассасина
внимательность *       	....!......  1 0 0 ;для ассасина
сон *            	....!......  4 0 0 ;для ассасина
молния *         	....!......  3 0 0 ;для ассасина
групповая праведность 	.....!.....  4 0 0 ;для паладинов
слепота *        	.....!.....  2 0 0 ;для паладина
проклятие *      	.....!.....  1 0 0 ;для паладинов
освящение *      	.....!.....  3 0 0 ;для палладина
молчание *       	.....!.....  2 0 0 ;для паладина
снять проклятие  	.....!.....  3 0 0 ;для паладина
внимательность *       	......!....  2 0 0 ;для следопыта
затуманивание *  	......!....  3 0 0 ;для следопыта
инфразрение *    	......!....  1 0 0 ;для следопыта
шокирующая хватка 	......!....  3 0 0 ;для следопытов
вызвать молнию  	.......!...  1 0 0 ;для друида
затуманивание *  	.......!...  1 0 0 ;для друида
восстановление * 	.......!...  2 0 0 ;для друида изменить на 
инфразрение *    	.......!...  2 0 0 ;для друида
водохождение *   	.......!...  2 0 0 ;для друида
свечение *      	.......!...  2 0 0 ;для друида
кислотная стрела 	.......!...  3 0 0 ;для друида
снять молчание   	.......!...  3 0 0 ;для друида
увеличить жизнь  	.......!...  3 0 0 ;для друида
опутывание *      	.......!...  3 0 0 ;для мага
окаменение *     	.......!...  4 0 0 ;для друида
увеличение *     	.......!...  4 0 0 ;для друида
уменьшение *     	.......!...  4 1 0 ;для друида
паралич *        	.......!...  5 0 0 ;для друида
землетрясение *  	.......!...  6 0 0 ;для друида
радужная молния  	.......!...  7 0 0 ;для друида
регенерация *    	.......!...  7 0 0 ;для друида
сопротивление огню  	.......!...  3 0 0 ;для друида
сопротивление холоду	.......!...  4 0 0 ;для друида
сопротивление воздуху	.......!...  5 0 0 ;для друида
контроль погоды  	...........  7 0 0 ;для друида можно дать друиду изменив на *грозу*
защита *         	........!..  3 0 0 ;для монаха
окаменение *     	........!..  1 0 0 ;для монаха
каменные руки    	........!..  2 0 0 ;для монаха
сила *           	........!..  1 0 0 ;для монаха
аард * 			..........! 18 0 0 ; знак аард
игни *			..........!  8 0 0 ; наносит дамаг и ослепляет
ирген *			..........! 12 0 0 ; улучшается защита от магии
аксий *			..........! 15 0 0 ; улучшается защита от ядов
гелиотроп *		..........! 25 1 0 ; улучшается защита на 1/3 любого повреждения
квен *			..........! 28 0 0 ; заколдовывает меч
групповая праведность 	!..........  7 1 a ;груп доблесть (+1 хитрол за 7  уровней)
групповое ускорение 	...........  6 0 0 ;--
групповое исцеление 	...........  7 0 0 ;--  
массовая слепота 	...........  7 0 0 ;изменить как *Солнечный луч*(для баланса можно
массовое оцепенение 	...........  8 0 0 ;изманить на *слово  силы замереть*
массовое проклятие 	...........  8 0 0 ;--
массовое молчание 	...........  8 0 0 ;--
солнечный луч     	!..........  7 1 a ;для клирика 1-й реморт светлый
;круг смерти     	!..........  5 1 c ;для клирика 1-й реморт темный
поднять труп     	!..........  5 1 c ;--animate dead
оживить труп     	!..........  6 2 c ;--ressurection
клонирование *   	.!.........  7 1 a ;--clone
магический ремонт 	...........  6 0 0 ;можно измменить на *заколдовать любой предмет**
